time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
64.798019,105,0.859586,0.669653,1.844984,0.291933,0.822564,1.858453,0.152776,1.547068,0.153435,1.658342,0.053189,0.151677
64.847473,105,1.532590,0.500609,1.525002,0.236466,0.754011,1.750576,0.079075,1.558796,0.083618,1.654492,0.000000,0.130500
64.948433,41,1.872113,0.364944,1.111726,0.172384,0.590447,2.719848,0.057646,1.048950,0.060958,1.497028,0.000000,0.051428
64.998001,93,1.701616,0.411783,1.000553,0.238479,0.671182,2.208480,0.385214,0.944055,0.054862,2.680658,0.000000,2.166667
65.098732,93,1.323811,0.304023,0.686669,0.461549,2.425000,1.570877,0.258333,0.688216,2.166667,1.682303,0.000000,1.547068
65.148155,59,1.076547,0.253900,0.556202,0.405220,2.105556,1.272410,0.239815,0.557455,1.865741,1.624871,0.000000,1.555641
65.247688,59,1.919839,0.159739,0.364924,0.263325,1.844327,0.834828,0.487583,0.624080,1.115775,2.747069,0.000000,2.278111
65.298584,99,1.860741,0.133222,0.246213,1.744904,1.516880,1.718502,0.410276,0.611069,0.903778,2.534694,0.300000,2.286937
65.349724,99,1.483869,0.115551,0.199432,1.894555,1.210675,1.701555,0.123073,0.498799,1.530012,2.358774,0.258333,1.747794
65.398239,44,1.206208,0.075000,0.161540,1.814985,0.980647,1.683931,0.099689,0.346878,1.548061,3.238540,0.239815,1.415713
65.497955,44,0.896847,0.058125,0.070389,1.393208,0.446782,1.227586,0.072674,0.209168,1.669494,2.349390,0.174825,1.032055
65.549614,24,1.804638,0.063333,0.057015,1.141346,0.387199,0.994344,0.000000,0.392909,1.435804,2.292072,0.141608,0.835964
65.647011,44,1.911642,0.359398,0.000000,0.988032,0.302176,0.805419,1.527778,0.333590,1.554415,2.083279,0.189703,0.677131
65.747742,44,1.214458,0.239815,0.000000,0.649381,0.155885,0.451539,1.555641,0.169492,1.285979,1.366840,0.135210,0.444266
66.447662,40,0.459667,0.058866,0.062571,1.688834,1.626855,1.626855,0.353194,0.062571,0.306976,0.305345,1.877141,0.250285
